comunadondeseimpartelacarreraopr,nombreregion,duraciónensemestres,puntaje,pnem,prank,ingreso2,valordearancel,ingreso,area,year
Las Condes,Región Metropolitana,10,663,,,53,3.304.155,117,Health,2011
Iquique,Región de Tarapacá,10,555,560,569,18,2.687.000,220,Health,2014
Viña del Mar,Región de Valparaíso,10,487,516,,51,3.843.000,335,Health,2019
Valdivia,Región de los Ríos,10,551,,,60,3.391.501,228,Health,2011
Valparaíso,Región de Valparaíso,10,635,664,703,54,2.455.000,255,Health,2013
Valdivia,Región de los Ríos,10,636,,,61,2.756.000,285,Health,2012
Melipilla,Región Metropolitana,10,520,,,27,2.490.000,28,Health,2011
Concepción,Región del Bío-Bío,10,511,,,32,2.200.000,40,Health,2011
Santiago,Región Metropolitana,,560,,,76,3.751.140,361,Health,2011
Viña del Mar,Región de Valparaíso,5,423,,,53,1.200.000,167,Health,2010
Huechuraba,Región Metropolitana,10,642,623,649,83,4.378.520,468,Health,2016
Los Ángeles,Región del Bío-Bío,10,626,680,732,60,3.506.783,333,Health,2019
Talca,Región del Maule,10,655,,,58,2.230.000,69,Health,2012
Antofagasta,Región de Antofagasta,10,488,,,33,2.872.500,204,Health,2016
Valdivia,Región de los Ríos,14,748,,,46,3.900.000,441,Health,2012
Antofagasta,Región de Antofagasta,14,731,659,802,33,4.478.000,397,Health,2014
Santiago,Región Metropolitana,10,700,709,774,86,3.262.700,464,Health,2014
La Serena,Región de Coquimbo,10,503,,,20,2.160.000,316,Health,2012
Calama,Región de Antofagasta,5,412,,,10,1.270.000,58,Health,2011
Concepción,Región del Bío-Bío,10,604,,,83,3.524.898,618,Health,2011
Recoleta,Región Metropolitana,5,545,,,63,3.242.095,119,Health,2011
Puerto Montt,Región de Los Lagos,10,517,524,536,47,3.384.000,196,Health,2018
La Serena,Región de Coquimbo,10,486,535,,38,2.450.000,251,Health,2015
Providencia,Región Metropolitana,5,446,,,282,1.230.000,947,Health,2009
Concepción,Región del Bío-Bío,10,595,582,593,96,3.606.200,754,Health,2014
Temuco,Región de La Araucanía,10,657,,,65,2.212.000,240,Health,2011
Valparaíso,Región de Valparaíso,10,630,,,61,1.940.400,275,Health,2009
San Felipe,Región de Valparaíso,10,630,,,32,2.505.000,171,Health,2012
Santiago,Región Metropolitana,10,521,,,51,3.529.300,253,Health,2017
Santiago,Región Metropolitana,10,452,495,,22,3.429.500,365,Health,2015
Valparaíso,Región de Valparaíso,10,673,,,45,1.940.000,230,Health,2007
San Felipe,Región de Valparaíso,10,613,,,38,2.225.000,182,Health,2012
San Felipe,Región de Valparaíso,14,738,,,31,3.947.000,219,Health,2012
San Felipe,Región de Valparaíso,10,602,,,39,2.292.000,207,Health,2012
Talca,Región del Maule,12,701,,,70,3.539.500,568,Health,2010
Temuco,Región de La Araucanía,14,764,759,815,63,4.643.000,467,Health,2017
Puerto Montt,Región de Los Lagos,10,535,510,525,23,4.135.200,138,Health,2017
Lo Barnechea,Región Metropolitana,10,597,579,586,67,4.240.000,315,Health,2014
Concepción,Región del Bío-Bío,9,623,,,84,1.664.000,338,Health,2011
Valdivia,Región de los Ríos,10,534,,,23,3.435.600,80,Health,2019
Curicó,Región del Maule,10,614,,,57,2.570.000,162,Health,2012
Osorno,Región de Los Lagos,10,530,,,27,1.901.000,192,Health,2012
La Serena,Región de Coquimbo,10,575,,,46,2.200.000,255,Health,2011
Santiago,Región Metropolitana,10,450,450,450,28,2.750.000,139,Health,2017
La Serena,Región de Coquimbo,14,675,,,19,3.740.000,108,Health,2010
La Serena,Región de Coquimbo,10,571,,,39,2.460.000,222,Health,2012
Antofagasta,Región de Antofagasta,10,638,,,48,2.050.000,245,Health,2008
Santiago,Región Metropolitana,10,517,528,528,114,2.380.000,828,Health,2013
Concepción,Región del Bío-Bío,10,583,558,570,81,4.472.300,640,Health,2017
Concepción,Región del Bío-Bío,10,550,539,543,76,3.084.700,529,Health,2015
Santiago,Región Metropolitana,14,794,781,827,191,6.094.000,1489,Health,2019
Santiago,Región Metropolitana,12,682,,,127,2.339.000,784,Health,2008
San Fernando,Región del Gral. B. O`Higgins,5,395,,,19,1.270.000,90,Health,2010
Osorno,Región de Los Lagos,10,539,,,40,2.492.300,238,Health,2014
Talca,Región del Maule,10,645,,,53,1.677.000,212,Health,2006
Coquimbo,Región de Coquimbo,14,742,751,812,56,4.718.000,436,Health,2016
Huechuraba,Región Metropolitana,10,638,626,650,82,4.650.180,457,Health,2017
La Serena,Región de Coquimbo,10,601,627,660,46,2.820.000,46,Health,2013
Viña del Mar,Región de Valparaíso,10,535,,,42,1.505.000,141,Health,2006
Valparaíso,Región de Valparaíso,10,617,,,49,1.857.000,203,Health,2010
Chillán,Región de Ñuble,10,686,726,792,65,2.557.900,371,Health,2015
Arica,Región de Arica y Parinacota,10,527,,,37,1.210.000,176,Health,2007
Arica,Región de Arica y Parinacota,10,614,,,43,1.600.000,308,Health,2008
Concepción,Región del Bío-Bío,10,557,,,127,2.714.000,366,Health,2008
Providencia,Región Metropolitana,10,578,,,74,2.675.000,345,Health,2007
Concepción,Región del Bío-Bío,10,510,,,14,3.041.200,110,Health,2018
Viña del Mar,Región de Valparaíso,10,522,,,57,1.750.000,176,Health,2008
Concepción,Región del Bío-Bío,14,767,,,108,4.143.500,787,Health,2010
Victoria,Región de La Araucanía,10,555,,,15,1.694.000,92,Health,2008
Concepción,Región del Bío-Bío,10,552,,,26,2.539.000,209,Health,2011
Valdivia,Región de los Ríos,10,611,,,249,2.480.000,259,Health,2009
Arica,Región de Arica y Parinacota,10,607,641,665,64,3.339.000,472,Health,2019
Coquimbo,Región de Coquimbo,10,662,,,21,2.754.000,140,Health,2012
Viña del Mar,Región de Valparaíso,10,513,,,40,2.509.000,76,Health,2012
Concepción,Región del Bío-Bío,10,623,,,62,2.937.000,117,Health,2012
Antofagasta,Región de Antofagasta,14,717,,,48,4.258.000,410,Health,2012
Santiago,Región Metropolitana,10,525,,,50,3.376.200,257,Health,2016
Santiago,Región Metropolitana,10,518,515,531,176,4.100.000,1022,Health,2019
Antofagasta,Región de Antofagasta,10,634,,,55,2.629.000,368,Health,2011
Concepción,Región del Bío-Bío,9,636,685,727,62,2.057.000,323,Health,2017
Concepción,Región del Bío-Bío,5,405,,,5,1.020.000,50,Health,2011
Antofagasta,Región de Antofagasta,10,622,,,39,1.665.000,206,Health,2005
Arica,Región de Arica y Parinacota,10,515,,,23,1.864.600,99,Health,2015
Talca,Región del Maule,10,651,,,60,2.570.000,412,Health,2012
Iquique,Región de Tarapacá,10,506,,,28,2.597.200,167,Health,2016
San Felipe,Región de Valparaíso,10,670,688,744,36,2.980.000,150,Health,2016
Talca,Región del Maule,10,555,,,62,2.702.400,462,Health,2014
Santiago,Región Metropolitana,10,594,570,588,54,3.283.000,59,Health,2013
Puerto Montt,Región de Los Lagos,10,557,588,625,67,2.890.000,375,Health,2014
Antofagasta,Región de Antofagasta,10,588,,,50,2.596.000,247,Health,2011
Copiapó,Región de Atacama,10,583,,,50,2.060.000,100,Health,2009
Puerto Montt,Región de Los Lagos,12,578,576,605,40,6.237.900,368,Health,2018
San Miguel,Región Metropolitana,9,519,,,13,2.400.000,371,Health,2010
Providencia,Región Metropolitana,9,519,,,123,2.990.000,292,Health,2012
Concepción,Región del Bío-Bío,10,531,,,84,2.840.835,374,Health,2011
Antofagasta,Región de Antofagasta,10,514,521,541,26,2.751.000,129,Health,2017
Puerto Montt,Región de Los Lagos,10,569,562,580,60,3.651.300,288,Health,2017
Viña del Mar,Región de Valparaíso,10,526,,,62,2.609.360,154,Health,2013
Talca,Región del Maule,10,669,711,771,67,3.418.000,411,Health,2018
Santiago,Región Metropolitana,10,482,500,516,76,3.414.000,238,Health,2017
Las Condes,Región Metropolitana,10,529,534,545,135,4.890.000,657,Health,2019
Valdivia,Región de los Ríos,10,614,634,672,59,2.890.000,301,Health,2014
Concepción,Región del Bío-Bío,14,761,775,835,58,5.616.000,419,Health,2016
Copiapó,Región de Atacama,10,529,545,565,45,2.450.000,62,Health,2014
Valdivia,Región de los Ríos,10,503,,,9,2.309.000,51,Health,2013
San Miguel,Región Metropolitana,9,535,533,555,73,3.447.000,343,Health,2016
Valparaíso,Región de Valparaíso,10,564,582,604,64,3.255.000,347,Health,2019
Concepción,Región del Bío-Bío,10,520,,,36,2.941.700,288,Health,2014
Santiago,Región Metropolitana,14,675,667,721,43,6.200.000,252,Health,2016
Providencia,Región Metropolitana,5,469,,,5,1.280.000,121,Health,2011
Puerto Montt,Región de Los Lagos,10,580,,,75,2.257.000,231,Health,2009
Concepción,Región del Bío-Bío,10,613,669,715,72,3.100.000,179,Health,2013
San Miguel,Región Metropolitana,10,609,571,597,78,3.447.000,677,Health,2016
Recoleta,Región Metropolitana,,569,533,550,43,4.216.900,240,Health,2016
Valparaíso,Región de Valparaíso,10,617,645,687,77,2.520.300,367,Health,2016
Concepción,Región del Bío-Bío,10,575,,,45,2.390.000,285,Health,2011
Antofagasta,Región de Antofagasta,5,415,,,7,1.130.000,56,Health,2011
Temuco,Región de La Araucanía,10,619,640,688,60,3.842.720,430,Health,2014
La Serena,Región de Coquimbo,14,629,,,15,4.300.000,152,Health,2012
Huechuraba,Región Metropolitana,10,585,588,610,81,4.520.460,475,Health,2017
Valparaíso,Región de Valparaíso,10,691,738,795,67,2.328.000,346,Health,2013
Santiago,Región Metropolitana,12,679,,,129,2.573.000,786,Health,2009
Temuco,Región de La Araucanía,10,586,582,601,48,4.633.260,213,Health,2018
Concepción,Región del Bío-Bío,10,606,575,587,108,4.018.600,756,Health,2016
Concepción,Región del Bío-Bío,10,556,,,36,2.200.000,42,Health,2011
La Serena,Región de Coquimbo,12,672,711,769,61,5.161.000,341,Health,2019
Antofagasta,Región de Antofagasta,5,426,,,9,1.130.000,51,Health,2010
Talca,Región del Maule,14,752,767,820,61,5.590.000,457,Health,2017
Osorno,Región de Los Lagos,10,505,,,24,1.395.000,70,Health,2006
Iquique,Región de Tarapacá,10,510,,,25,2.660.500,78,Health,2016
Iquique,Región de Tarapacá,12,619,643,687,45,3.742.000,265,Health,2019
Temuco,Región de La Araucanía,10,574,584,618,56,2.686.000,222,Health,2015
Coquimbo,Región de Coquimbo,4,665,,,28,2.754.000,48,Health,2012
Viña del Mar,Región de Valparaíso,10,534,,,54,2.509.000,95,Health,2012
Santiago,Región Metropolitana,10,583,596,640,99,3.003.600,429,Health,2018
La Serena,Región de Coquimbo,10,520,,,39,1.950.000,42,Health,2011
Temuco,Región de La Araucanía,10,522,,,27,2.300.000,120,Health,2011
Puerto Montt,Región de Los Lagos,10,491,,,30,2.050.000,30,Health,2011
Osorno,Región de Los Lagos,10,548,,,35,1.740.000,198,Health,2010
La Florida,Región Metropolitana,10,494,,,74,2.552.000,191,Health,2010
Santiago,Región Metropolitana,14,700,,,73,4.219.000,429,Health,2006
Concepción,Región del Bío-Bío,10,490,,,34,3.062.300,217,Health,2017
Concepción,Región del Bío-Bío,12,622,646,674,112,6.985.100,862,Health,2018
Valparaíso,Región de Valparaíso,12,633,659,702,63,2.935.000,404,Health,2013
Temuco,Región de La Araucanía,10,522,,,30,2.000.000,77,Health,2009
Viña del Mar,Región de Valparaíso,10,514,,,90,2.895.360,421,Health,2013
La Serena,Región de Coquimbo,5,469,,,2,890.000,32,Health,2009
Copiapó,Región de Atacama,10,550,547,569,55,2.678.000,138,Health,2016
Temuco,Región de La Araucanía,10,665,,,70,2.322.000,341,Health,2012
Valdivia,Región de los Ríos,14,763,759,824,67,4.500.000,477,Health,2016
Temuco,Región de La Araucanía,10,548,,,45,2.320.000,173,Health,2011
Providencia,Región Metropolitana,8,619,631,664,72,3.715.000,329,Health,2015
Viña del Mar,Región de Valparaíso,10,510,,,61,3.470.173,297,Health,2016
Arica,Región de Arica y Parinacota,10,651,,,31,1.800.000,117,Health,2008
Valparaíso,Región de Valparaíso,10,623,649,695,83,3.198.000,341,Health,2018
Santiago,Región Metropolitana,10,556,,,39,2.620.000,64,Health,2010
Providencia,Región Metropolitana,10,603,650,704,72,4.120.000,645,Health,2017
Concepción,Región del Bío-Bío,11,700,725,769,82,3.506.783,610,Health,2019
Antofagasta,Región de Antofagasta,5,426,,,9,1.090.000,52,Health,2009
Talca,Región del Maule,14,759,771,825,61,5.177.600,531,Health,2016
Viña del Mar,Región de Valparaíso,10,598,,,71,2.925.511,294,Health,2011
Concepción,Región del Bío-Bío,,559,549,563,35,3.395.200,199,Health,2015
Talca,Región del Maule,10,683,717,777,69,3.255.000,408,Health,2017
Santiago,Región Metropolitana,12,670,,,122,5.470.727,804,Health,2011
Temuco,Región de La Araucanía,10,634,,,64,2.322.000,290,Health,2012
Santiago,Región Metropolitana,10,528,528,552,46,3.311.000,199,Health,2016
Temuco,Región de La Araucanía,10,514,514,521,17,3.904.008,144,Health,2015
Valparaíso,Región de Valparaíso,10,630,633,675,51,3.372.000,192,Health,2015
Las Condes,Región Metropolitana,10,571,,,107,3.498.600,517,Health,2011
Viña del Mar,Región de Valparaíso,10,596,,,101,2.885.128,527,Health,2011
Talca,Región del Maule,10,660,,,73,2.470.000,407,Health,2011
Concepción,Región del Bío-Bío,9,592,623,649,63,3.687.525,336,Health,2017
Lo Barnechea,Región Metropolitana,,655,,,68,3.568.000,364,Health,2011
Talca,Región del Maule,14,720,,,69,4.230.000,418,Health,2011
Santiago,Región Metropolitana,10,566,,,88,1.940.000,344,Health,2006
Valparaíso,Región de Valparaíso,12,711,,,94,2.930.000,406,Health,2006
Santiago,Región Metropolitana,5,436,,,7,880.000,127,Health,2011
Iquique,Región de Tarapacá,10,548,558,573,25,2.123.100,189,Health,2013
Temuco,Región de La Araucanía,10,609,620,665,55,2.519.000,175,Health,2014
Concepción,Región del Bío-Bío,14,719,,,83,5.156.000,603,Health,2009
Iquique,Región de Tarapacá,10,514,,,14,2.327.200,83,Health,2014
Arica,Región de Arica y Parinacota,10,581,,,31,1.800.000,118,Health,2008
Concepción,Región del Bío-Bío,10,519,,,68,2.001.000,84,Health,2008
Puerto Montt,Región de Los Lagos,10,566,,,64,2.756.000,324,Health,2012
Concepción,Región del Bío-Bío,10,634,671,707,60,2.582.000,262,Health,2013
Viña del Mar,Región de Valparaíso,8,584,,,73,2.876.154,332,Health,2011
Valdivia,Región de los Ríos,10,648,,,199,2.480.000,247,Health,2009
Santiago,Región Metropolitana,8,595,,,180,3.465.246,967,Health,2011
Viña del Mar,Región de Valparaíso,10,598,,,117,2.965.984,505,Health,2011
Temuco,Región de La Araucanía,10,515,,,15,1.860.000,51,Health,2008
Concepción,Región del Bío-Bío,10,525,,,66,2.180.194,321,Health,2006
San Miguel,Región Metropolitana,9,525,,,69,2.916.860,458,Health,2013
Antofagasta,Región de Antofagasta,10,638,,,49,1.664.000,241,Health,2005
Recoleta,Región Metropolitana,,595,593,623,76,4.463.600,309,Health,2018
Puerto Montt,Región de Los Lagos,10,535,534,550,87,3.733.500,516,Health,2018
Las Condes,Región Metropolitana,10,595,,,123,3.482.430,630,Health,2011
Osorno,Región de Los Lagos,12,564,,,26,3.900.000,110,Health,2008
Talca,Región del Maule,10,670,,,48,2.240.000,330,Health,2010
Viña del Mar,Región de Valparaíso,10,521,,,17,3.213.000,432,Health,2014
Santiago,Región Metropolitana,10,681,,,56,2.880.000,273,Health,2011
Puerto Montt,Región de Los Lagos,5,390,,,4,1.090.000,47,Health,2009
Concepción,Región del Bío-Bío,10,649,675,721,64,3.522.000,332,Health,2015
Rancagua,Región del Gral. B. O`Higgins,5,431,,,23,1.200.000,115,Health,2010
Santiago,Región Metropolitana,10,600,606,641,58,3.283.000,125,Health,2013
Valdivia,Región de los Ríos,10,503,,,18,2.710.600,144,Health,2014
Talca,Región del Maule,10,693,727,784,58,2.868.000,350,Health,2016
Providencia,Región Metropolitana,9,540,,,98,3.123.660,443,Health,2013
Providencia,Región Metropolitana,5,439,,,45,1.280.000,232,Health,2010
Temuco,Región de La Araucanía,9,536,,,95,2.669.000,571,Health,2012
Antofagasta,Región de Antofagasta,10,595,,,44,2.731.000,250,Health,2011
Viña del Mar,Región de Valparaíso,10,517,,,44,3.069.900,313,Health,2015
San Felipe,Región de Valparaíso,10,687,699,755,32,2.912.000,141,Health,2019
Las Condes,Región Metropolitana,12,703,,,64,5.448.952,483,Health,2009
Viña del Mar,Región de Valparaíso,10,526,,,39,1.450.000,81,Health,2006
Providencia,Región Metropolitana,9,544,,,106,2.990.000,337,Health,2011
Talca,Región del Maule,10,563,,,109,2.040.000,297,Health,2009
Antofagasta,Región de Antofagasta,12,690,,,67,2.890.000,380,Health,2007
Valparaíso,Región de Valparaíso,10,625,623,648,57,3.726.000,338,Health,2015
Lo Barnechea,Región Metropolitana,10,610,624,611,58,4.022.000,255,Health,2013
Chillán,Región de Ñuble,10,611,,,49,1.804.000,281,Health,2010
Concepción,Región del Bío-Bío,10,657,693,743,104,2.271.000,505,Health,2014
Viña del Mar,Región de Valparaíso,10,537,545,555,102,4.290.000,448,Health,2019
Iquique,Región de Tarapacá,10,602,639,690,40,2.360.000,269,Health,2019
Santiago,Región Metropolitana,10,515,523,532,27,2.245.000,130,Health,2013
Providencia,Región Metropolitana,10,484,,,107,2.836.000,317,Health,2010
Talca,Región del Maule,12,686,716,760,76,5.122.000,554,Health,2018
Providencia,Región Metropolitana,10,486,,,34,2.550.000,198,Health,2010
Maipú,Región Metropolitana,5,464,,,27,1.148.000,49,Health,2010
Providencia,Región Metropolitana,5,499,,,28,1.275.000,62,Health,2010
Santiago,Región Metropolitana,5,469,,,39,1.275.000,40,Health,2010
Concepción,Región del Bío-Bío,10,502,,,22,2.065.000,22,Health,2010
Temuco,Región de La Araucanía,10,561,,,32,2.800.600,279,Health,2014
Chillán,Región de Ñuble,10,645,,,66,2.208.000,360,Health,2011
Chillán,Región de Ñuble,10,477,562,,32,2.450.000,324,Health,2015
Santiago,Región Metropolitana,10,588,,,77,3.099.000,407,Health,2012
Viña del Mar,Región de Valparaíso,12,640,,,143,4.737.997,582,Health,2011
Los Ángeles,Región del Bío-Bío,5,411,,,11,950.000,36,Health,2011
Santiago,Región Metropolitana,14,724,,,79,5.000.000,418,Health,2010
Santiago,Región Metropolitana,12,669,,,131,2.856.000,808,Health,2011
Valdivia,Región de los Ríos,10,552,,,69,2.992.375,323,Health,2011
Santiago,Región Metropolitana,10,564,,,79,2.407.354,310,Health,2008
Maipú,Región Metropolitana,10,491,,,52,2.500.000,104,Health,2009
Valdivia,Región de los Ríos,10,498,,,28,2.180.000,56,Health,2009
Santiago,Región Metropolitana,10,533,,,45,2.988.700,213,Health,2014
Viña del Mar,Región de Valparaíso,10,600,,,122,2.721.819,497,Health,2010
Las Condes,Región Metropolitana,10,592,,,139,3.316.600,629,Health,2010
Puerto Montt,Región de Los Lagos,10,556,568,598,64,3.397.000,338,Health,2018
Santiago,Región Metropolitana,14,713,,,73,5.436.600,582,Health,2010
Concepción,Región del Bío-Bío,10,564,,,128,2.972.000,414,Health,2009
Viña del Mar,Región de Valparaíso,8,586,,,100,2.713.353,313,Health,2010
Concepción,Región del Bío-Bío,12,602,626,651,48,5.394.997,213,Health,2013
Arica,Región de Arica y Parinacota,10,500,,,38,1.910.000,303,Health,2012
Macul,Región Metropolitana,10,678,,,98,2.205.000,549,Health,2006
Arica,Región de Arica y Parinacota,10,646,688,730,53,3.339.000,352,Health,2019
Viña del Mar,Región de Valparaíso,10,574,584,604,99,3.177.917,338,Health,2013
Talca,Región del Maule,10,560,579,603,84,3.219.599,265,Health,2019
Los Ángeles,Región del Bío-Bío,10,527,,,48,3.006.900,248,Health,2018
Viña del Mar,Región de Valparaíso,10,535,,,33,3.127.000,795,Health,2014
Santiago,Región Metropolitana,10,685,698,767,48,3.262.700,287,Health,2014
Antofagasta,Región de Antofagasta,12,682,701,752,56,4.850.000,409,Health,2017
Macul,Región Metropolitana,10,693,,,93,2.540.000,512,Health,2008
Temuco,Región de La Araucanía,10,501,,,31,3.203.800,154,Health,2017
Santiago,Región Metropolitana,10,573,,,84,2.727.273,369,Health,2010
Concepción,Región del Bío-Bío,10,697,,,39,2.429.000,124,Health,2006
Lo Barnechea,Región Metropolitana,12,676,,,94,5.356.000,383,Health,2010
Concepción,Región del Bío-Bío,10,681,710,759,98,2.481.000,565,Health,2016
Temuco,Región de La Araucanía,10,617,,,49,2.032.000,202,Health,2009
Valdivia,Región de los Ríos,10,689,719,785,56,3.570.000,364,Health,2019
Victoria,Región de La Araucanía,10,540,540,552,27,2.098.800,178,Health,2015
Valparaíso,Región de Valparaíso,10,664,,,48,1.920.000,257,Health,2007
Viña del Mar,Región de Valparaíso,14,725,741,791,44,5.146.780,308,Health,2013
Santiago,Región Metropolitana,12,746,,,56,4.740.000,131,Health,2010
San Miguel,Región Metropolitana,10,559,,,125,2.790.000,767,Health,2011
Temuco,Región de La Araucanía,10,560,,,32,3.265.100,278,Health,2017
Providencia,Región Metropolitana,9,523,,,87,2.990.000,278,Health,2011
Talca,Región del Maule,10,601,605,624,80,3.018.080,559,Health,2017
San Miguel,Región Metropolitana,9,544,,,108,2.790.000,674,Health,2011
Santiago,Región Metropolitana,10,504,,,107,2.050.000,148,Health,2011
Los Ángeles,Región del Bío-Bío,10,403,,,10,1.610.000,108,Health,2007
Iquique,Región de Tarapacá,10,561,592,631,32,2.236.000,74,Health,2014
Valdivia,Región de los Ríos,10,649,686,740,49,3.570.000,295,Health,2019
Rancagua,Región del Gral. B. O`Higgins,10,617,651,707,57,3.350.000,107,Health,2018
Puerto Montt,Región de Los Lagos,10,644,673,731,54,3.190.000,204,Health,2016
Concepción,Región del Bío-Bío,,546,,,126,2.364.000,380,Health,2008
Concepción,Región del Bío-Bío,12,616,,,128,5.205.000,607,Health,2009
Iquique,Región de Tarapacá,10,519,,,33,2.464.600,246,Health,2015
Copiapó,Región de Atacama,10,622,636,676,57,2.546.000,345,Health,2016
Chillán,Región de Ñuble,10,637,676,716,61,2.312.000,125,Health,2014
Antofagasta,Región de Antofagasta,10,559,578,594,56,2.973.000,243,Health,2014
Osorno,Región de Los Lagos,10,509,,,14,2.610.600,193,Health,2015
Valparaíso,Región de Valparaíso,10,605,652,698,60,2.144.604,272,Health,2013
Temuco,Región de La Araucanía,9,501,,,6,2.497.000,242,Health,2010
Curicó,Región del Maule,10,633,,,57,2.400.000,56,Health,2010
Santiago,Región Metropolitana,8,563,568,592,182,3.764.219,910,Health,2013
Santiago,Región Metropolitana,10,524,530,547,36,2.706.400,217,Health,2015
Osorno,Región de Los Lagos,10,516,,,24,1.505.000,77,Health,2006
Viña del Mar,Región de Valparaíso,12,511,,,92,6.274.338,617,Health,2017
Valdivia,Región de los Ríos,10,674,710,773,45,3.570.000,294,Health,2019
Las Condes,Región Metropolitana,10,656,,,75,3.201.926,405,Health,2012
Santiago,Región Metropolitana,10,685,723,781,60,2.565.830,397,Health,2013
Santiago,Región Metropolitana,,523,529,529,47,4.819.100,353,Health,2019
Santiago,Región Metropolitana,12,589,542,556,107,6.489.700,1071,Health,2015
Providencia,Región Metropolitana,10,488,,,33,1.800.000,44,Health,2011
Recoleta,Región Metropolitana,14,729,695,727,77,7.702.100,628,Health,2018
Talca,Región del Maule,14,761,767,812,59,5.436.500,531,Health,2017
Santiago,Región Metropolitana,10,504,527,545,75,2.817.400,290,Health,2016
Osorno,Región de Los Lagos,10,532,539,556,26,1.997.000,181,Health,2013
San Miguel,Región Metropolitana,9,514,,,88,3.112.110,448,Health,2015
Osorno,Región de Los Lagos,10,497,,,21,2.784.500,168,Health,2016
Talca,Región del Maule,10,541,,,23,2.500.000,247,Health,2012
San Felipe,Región de Valparaíso,5,412,,,29,1.090.000,56,Health,2011
Valdivia,Región de los Ríos,12,561,587,587,31,6.431.300,289,Health,2019
Talca,Región del Maule,14,726,,,53,4.291.000,200,Health,2011
Curicó,Región del Maule,10,627,675,724,65,2.770.000,276,Health,2014
Chillán,Región de Ñuble,10,648,670,704,59,2.626.000,288,Health,2017
Antofagasta,Región de Antofagasta,12,530,597,637,7,4.400.000,53,Health,2014
Talca,Región del Maule,14,748,766,822,59,4.647.600,430,Health,2014
Iquique,Región de Tarapacá,10,551,,,43,1.959.000,240,Health,2009
Concepción,Región del Bío-Bío,10,557,560,554,26,2.848.000,185,Health,2013
Temuco,Región de La Araucanía,14,732,721,779,47,6.665.352,405,Health,2015
Talca,Región del Maule,9,542,,,125,2.340.000,507,Health,2012
Coquimbo,Región de Coquimbo,14,732,728,800,49,4.148.000,405,Health,2014
Talca,Región del Maule,10,573,,,60,2.300.000,357,Health,2011
Osorno,Región de Los Lagos,10,536,537,559,48,3.520.000,265,Health,2019
Providencia,Región Metropolitana,10,592,593,620,60,3.992.000,273,Health,2017
Santiago,Región Metropolitana,10,658,668,739,201,3.927.002,1141,Health,2014
Santiago,Región Metropolitana,,552,534,547,178,3.908.105,765,Health,2014
Iquique,Región de Tarapacá,10,494,,,35,1.950.000,164,Health,2009
Santiago,Región Metropolitana,12,669,,,209,5.436.600,1050,Health,2010
San Miguel,Región Metropolitana,9,526,,,73,2.700.000,412,Health,2011
Santiago,Región Metropolitana,10,543,,,53,2.710.000,128,Health,2012
Temuco,Región de La Araucanía,12,628,644,684,51,6.665.352,369,Health,2015
Providencia,Región Metropolitana,10,550,,,114,2.990.000,411,Health,2011
Victoria,Región de La Araucanía,10,557,,,45,1.874.000,202,Health,2011
Antofagasta,Región de Antofagasta,5,432,,,3,1.080.000,46,Health,2010
Puerto Montt,Región de Los Lagos,14,650,,,26,4.355.000,169,Health,2008
Coquimbo,Región de Coquimbo,10,667,706,762,31,3.202.000,155,Health,2016
Santiago,Región Metropolitana,10,723,735,793,89,4.478.300,480,Health,2019
Puerto Montt,Región de Los Lagos,10,508,,,17,2.839.000,169,Health,2015
Santiago,Región Metropolitana,12,729,743,794,68,6.418.000,435,Health,2018
Ovalle,Región de Coquimbo,5,512,,,14,775.000,152,Health,2006
Temuco,Región de La Araucanía,9,529,543,520,50,3.889.634,290,Health,2019
Valparaíso,Región de Valparaíso,10,655,,,72,1.470.000,434,Health,2006
Santiago,Región Metropolitana,12,654,663,697,62,7.582.000,472,Health,2019
Arica,Región de Arica y Parinacota,10,614,,,33,1.800.000,98,Health,2008
Valparaíso,Región de Valparaíso,10,702,715,784,63,2.980.000,276,Health,2016
Providencia,Región Metropolitana,5,470,,,42,1.140.000,190,Health,2011
Santiago,Región Metropolitana,14,790,,,183,4.138.000,1514,Health,2011
Puerto Montt,Región de Los Lagos,10,516,,,53,2.240.000,189,Health,2010
Talca,Región del Maule,10,660,,,60,2.400.000,389,Health,2010
Puerto Montt,Región de Los Lagos,10,539,,,9,1.854.265,39,Health,2006
Temuco,Región de La Araucanía,10,619,,,49,2.322.000,207,Health,2012
San Miguel,Región Metropolitana,9,524,,,108,2.292.000,354,Health,2009
Santiago,Región Metropolitana,12,690,688,736,144,3.858.800,912,Health,2018
La Serena,Región de Coquimbo,10,553,,,47,2.908.400,231,Health,2019
Santiago,Región Metropolitana,8,544,534,547,181,4.535.760,781,Health,2017
Santiago,Región Metropolitana,10,574,,,57,2.680.000,294,Health,2010
Valdivia,Región de los Ríos,10,518,,,15,2.000.000,23,Health,2010
Santiago,Región Metropolitana,10,568,,,55,2.550.000,233,Health,2010
Puerto Montt,Región de Los Lagos,10,501,,,22,2.030.000,31,Health,2010
Santiago,Región Metropolitana,10,589,,,90,2.850.000,469,Health,2010
Concepción,Región del Bío-Bío,10,611,648,685,92,3.733.000,451,Health,2018
Valdivia,Región de los Ríos,10,503,,,49,2.140.000,121,Health,2010
Talca,Región del Maule,10,584,,,57,2.130.000,315,Health,2010
Los Ángeles,Región del Bío-Bío,10,557,,,37,2.030.000,250,Health,2010
La Serena,Región de Coquimbo,10,571,,,39,1.950.000,228,Health,2010
